# DISTANCE:     AVE_GOFR:        ERROR:
    0.807964           0           0
    0.833613           0           0
    0.859263 3.24205e-06 3.07568e-06
    0.884913  0.00121051 4.24009e-05
    0.910562   0.0234776  0.00032874
    0.936212    0.164622  0.00181175
    0.961861    0.562935  0.00388768
    0.987511     1.19446  0.00611813
     1.01316     1.86466  0.00579942
     1.03881     2.33461  0.00521273
     1.06446     2.54873  0.00284431
     1.09011     2.54673  0.00357115
     1.11576      2.4138  0.00445759
     1.14141     2.21157  0.00351924
     1.16706     1.97819  0.00460404
     1.19271     1.75848  0.00400227
     1.21836     1.56023  0.00431367
     1.24401     1.38884  0.00351678
     1.26966     1.24536  0.00324082
     1.29531     1.12624  0.00272775
     1.32096     1.02469  0.00289665
     1.34661     0.94074  0.00187631
     1.37226    0.870695  0.00272198
     1.39791    0.819624  0.00154894
     1.42355     0.77465  0.00198584
      1.4492    0.739924  0.00132001
     1.47485    0.710361  0.00146523
      1.5005    0.689265  0.00207734
     1.52615    0.677152  0.00168557
      1.5518    0.669362  0.00149535
